,,0
elite_school,elite_school_NA,-0.12671830665790784
Genre___Print,price_usd_prev_7_max,-0.1264446392759974
price_usd_prev_7_max,Genre___Print,-0.1264446392759974
ranking,Tier___1,-0.12563568121151403
Tier___1,ranking,-0.12563568121151403
price_usd_prev_10_mean,elite_award_not_received,-0.12544210999401226
elite_award_not_received,price_usd_prev_10_mean,-0.12544210999401226
degree_NA,elite_school,-0.12461507946064358
edu_NA,elite_school,-0.12461507946064358
elite_school,degree_NA,-0.12461507946064358
elite_school,edu_NA,-0.12461507946064358
elite_school_NA,artwork_order,-0.12378427989875819
artwork_order,elite_school_NA,-0.12378427989875819
cnt_median,height,-0.12335595867510081
height,cnt_median,-0.12335595867510081
Country___France,group_show,-0.122604111249375
group_show,Country___France,-0.122604111249375
price_inch_prev_10_min,Genre___Others,-0.12213861041251599
Genre___Others,price_inch_prev_10_min,-0.12213861041251599
elite_award_not_received,price_usd_prev_7_max,-0.1213181089084734
price_usd_prev_7_max,elite_award_not_received,-0.1213181089084734
artwork_order,edu_NA,-0.12109698745373815
degree_NA,artwork_order,-0.12109698745373815
edu_NA,artwork_order,-0.12109698745373815
artwork_order,degree_NA,-0.12109698745373815
non_elite_school,ranking,-0.1210820169254878
ranking,non_elite_school,-0.1210820169254878
cnt_median,elite_award_not_received,-0.12064632436777958
elite_award_not_received,cnt_median,-0.12064632436777958
meanprice_year,ranking,-0.12055515699898757
ranking,meanprice_year,-0.12055515699898757
gender_female,artwork_order,-0.12042789532017828
artwork_order,gender_female,-0.12042789532017828
meanprice_year,height,-0.12029167052041541
height,meanprice_year,-0.12029167052041541
Tier___1,no_degree,-0.12008432862006538
no_degree,Tier___1,-0.12008432862006538
Tier___1,Country___China,-0.11978878729217182
Country___China,Tier___1,-0.11978878729217182
price_inch_prev_10_max,elite_award_not_received,-0.11945682213300417
elite_award_not_received,price_inch_prev_10_max,-0.11945682213300417
gender_male,case_id,-0.11817466140933923
case_id,gender_male,-0.11817466140933923
cnt_median,width,-0.1179384586414436
width,cnt_median,-0.1179384586414436
meanprice_year,width,-0.11785421193818126
width,meanprice_year,-0.11785421193818126
fest_biennal,elite_school,-0.11782474318412713
elite_school,fest_biennal,-0.11782474318412713
artwork_order,non_elite_school,-0.1170270250008938
non_elite_school,artwork_order,-0.1170270250008938
price_usd_prev_10_mean,Genre___Print,-0.11683377777227898
